--------- beginning of main
07-12 19:34:04.964 12363 12363 I zygote  : Late-enabling -Xcheck:jni
--------- beginning of system
07-12 19:34:05.093 12363 12363 I ActivityThread: handleStopService: token=android.os.BinderProxy@aa15cae not found.
07-12 19:34:05.100 12363 12363 I TransferService: Starting Transfer Service to listen for network connectivity changes.
07-12 19:34:05.102 12363 12363 W LogFactory: Truncating log tag length as it exceed 23, the limit imposed by Android on certain API Levels
07-12 19:34:05.129 12363 12363 I TransferService: Registering the network receiver
07-12 19:34:05.133 12363 12363 I TransferService: Moving the service out of the Foreground state.
07-12 19:34:05.134 12363 12363 I TransferService: De-registering the network receiver.
07-12 19:34:22.673 12363 12363 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<androidx.core.view.ViewCompat$2>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
07-12 19:36:57.104 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@398240c)
07-12 19:36:57.104 12363 12363 D NearbyFragment: Endpoint{id=Hqzs, name=Galaxy S8 [2802]} has finished downloading 20200312_150844!000.mp4
07-12 19:36:57.105 12363 12363 V NearbyFragment: nextTransfer with selected algorithm: best_or_local
07-12 19:36:57.107 12363 12363 W NearbyFragment: Sending 20200312_150844!002.mp4 to Shark 1S [9c8f]
07-12 19:36:57.126 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:36:57.163 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:36:57.709 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:36:57.710 12363 12363 W NearbyFragment: Completed downloading 20200312_150744!003.mp4 from Endpoint{id=b1P0, name=Shark 1S [9c8f]} in 01.394s
07-12 19:36:57.714 12363 12363 V FileManager: External storage is readable
07-12 19:36:57.715 12363 12363 V FileManager: Created new directory: /storage/emulated/0/Movies/segment-sum/20200312_150744
07-12 19:36:57.801 12363 12363 D NearbyFragment: Received all summarised video segments of 20200312_150744
07-12 19:36:57.805 12363 12363 V FileManager: External storage is readable
07-12 19:36:57.805 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment-sum/20200312_150744
07-12 19:36:57.806 12363 12363 D FfmpegTools: Merging /storage/emulated/0/Movies/summarised/20200312_150744.mp4
07-12 19:36:57.806 12363 12363 V FfmpegTools: Retrieving duration of /storage/emulated/0/Movies/segment-sum/20200312_150744/20200312_150744!003.mp4
07-12 19:36:57.847 12363 12708 I mobile-ffmpeg: Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/storage/emulated/0/Movies/segment-sum/20200312_150744/20200312_150744!003.mp4':
07-12 19:36:57.847 12363 12708 I mobile-ffmpeg:   Metadata:
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg:     major_brand     : 
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg: isom
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg: 
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg:     minor_version   : 
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg: 512
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg: 
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg:     compatible_brands: 
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg: isomiso2avc1mp41
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg: 
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg:     encoder         : 
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg: Lavf58.42.100
07-12 19:36:57.848 12363 12708 I mobile-ffmpeg: 
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg:   Duration: 
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg: 00:00:04.89
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg: , start: 
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg: 0.000000
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg: , bitrate: 
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg: 1421 kb/s
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg: 
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg:     Stream #0:0
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg: (und)
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg: : Video: h264 (avc1 / 0x31637661), yuvj420p(pc), 1280x720, 1361 kb/s
07-12 19:36:57.849 12363 12708 I mobile-ffmpeg: , 
07-12 19:36:57.850 12363 12708 I mobile-ffmpeg: 29.97 fps, 
07-12 19:36:57.850 12363 12708 I mobile-ffmpeg: 29.97 tbr, 
07-12 19:36:57.850 12363 12708 I mobile-ffmpeg: 30k tbn, 
07-12 19:36:57.850 12363 12708 I mobile-ffmpeg: 59.94 tbc
07-12 19:36:57.850 12363 12708 I mobile-ffmpeg:  (default)
07-12 19:36:57.850 12363 12708 I mobile-ffmpeg: 
07-12 19:36:57.850 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:36:57.850 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg: VideoHandler
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg: 
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg:     Stream #0:1
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg: (und)
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg: : Audio: aac (mp4a / 0x6134706D), 16000 Hz, stereo, fltp, 78 kb/s
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg:  (default)
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg: 
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:36:57.851 12363 12708 I mobile-ffmpeg: SoundHandler
07-12 19:36:57.852 12363 12708 I mobile-ffmpeg: 
07-12 19:36:57.868 12363 12363 W FfmpegTools: Single segment returned, duration of 20200312_150744: 4.89
07-12 19:36:57.959 12363 12363 V VideoManager: Retrieving video from /storage/emulated/0/Movies/summarised/20200312_150744.mp4
07-12 19:36:57.964 12363 12363 V VideoManager: videoFromCursor
07-12 19:36:57.966 12363 12363 V SummarisedVideosEventHandler: onAdd
07-12 19:36:57.966 12363 12363 V RawFootageEventHandler: removeByName
07-12 19:36:57.967 12363 12363 V ProcessingVideosEventHandler: removeByName
07-12 19:36:57.968 12363 12363 V NearbyFragment: Removing video segment map for 20200312_150744
07-12 19:36:59.861 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@bc18904)
07-12 19:36:59.861 12363 12363 V NearbyFragment: Started downloading 20200312_150844!000.mp4 from Endpoint{id=Hqzs, name=Galaxy S8 [2802]}
07-12 19:36:59.863 12363 12363 V NearbyFragment: nextTransfer with selected algorithm: best_or_local
07-12 19:36:59.865 12363 12363 W NearbyFragment: Sending 20200312_150844!003.mp4 to Galaxy S8 [2802]
07-12 19:36:59.878 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:36:59.886 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:37:00.128 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@e6cf7b3)
07-12 19:37:00.727 12363 12363 V NearbyFragment: Transfer to Endpoint{id=a6Kd, name=Shark 1S [34d8]} complete
07-12 19:37:00.798 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=a6Kd, payload=com.google.android.gms.nearby.connection.Payload@f503170)
07-12 19:37:00.798 12363 12363 D NearbyFragment: Endpoint{id=a6Kd, name=Shark 1S [34d8]} has finished downloading 20200312_150844!001.mp4
07-12 19:37:00.799 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:37:00.836 12363 12363 V NearbyFragment: Transfer to Endpoint{id=a6Kd, name=Shark 1S [34d8]} complete
07-12 19:37:04.731 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=a6Kd, payload=com.google.android.gms.nearby.connection.Payload@d55ce9)
07-12 19:37:04.732 12363 12363 V NearbyFragment: Started downloading 20200312_150844!001.mp4 from Endpoint{id=a6Kd, name=Shark 1S [34d8]}
07-12 19:37:04.732 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:37:04.735 12363 12363 V NearbyFragment: Transfer to Endpoint{id=a6Kd, name=Shark 1S [34d8]} complete
07-12 19:37:04.812 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=a6Kd, payload=com.google.android.gms.nearby.connection.Payload@25dbd6e)
07-12 19:37:05.309 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:37:05.309 12363 12363 W NearbyFragment: Completed downloading 20200312_150844!000.mp4 from Endpoint{id=Hqzs, name=Galaxy S8 [2802]} in 05.447s
07-12 19:37:05.314 12363 12363 V FileManager: External storage is readable
07-12 19:37:05.314 12363 12363 V FileManager: Created new directory: /storage/emulated/0/Movies/segment-sum/20200312_150844
07-12 19:37:06.616 12363 12363 V NearbyFragment: Received a segment of 20200312_150844
07-12 19:37:10.808 12363 12363 V NearbyFragment: Transfer to Endpoint{id=a6Kd, name=Shark 1S [34d8]} complete
07-12 19:37:10.809 12363 12363 W NearbyFragment: Completed downloading 20200312_150844!001.mp4 from Endpoint{id=a6Kd, name=Shark 1S [34d8]} in 06.076s
07-12 19:37:10.813 12363 12363 V FileManager: External storage is readable
07-12 19:37:10.813 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment-sum/20200312_150844
07-12 19:37:12.253 12363 12363 V NearbyFragment: Received a segment of 20200312_150844
07-12 19:37:12.256 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:37:12.257 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=b1P0, payload=com.google.android.gms.nearby.connection.Payload@2b55c0f)
07-12 19:37:12.257 12363 12363 D NearbyFragment: Endpoint{id=b1P0, name=Shark 1S [9c8f]} has finished downloading 20200312_150844!002.mp4
07-12 19:37:12.258 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:37:12.258 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:37:16.093 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=b1P0, payload=com.google.android.gms.nearby.connection.Payload@bdef49c)
07-12 19:37:16.093 12363 12363 V NearbyFragment: Started downloading 20200312_150844!002.mp4 from Endpoint{id=b1P0, name=Shark 1S [9c8f]}
07-12 19:37:16.094 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:37:16.121 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:37:16.141 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:37:16.274 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@91ddea5)
07-12 19:37:16.274 12363 12363 D NearbyFragment: Endpoint{id=Hqzs, name=Galaxy S8 [2802]} has finished downloading 20200312_150844!003.mp4
07-12 19:37:16.275 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:37:16.324 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:37:16.451 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=b1P0, payload=com.google.android.gms.nearby.connection.Payload@42c427a)
07-12 19:37:18.550 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@775aa2b)
07-12 19:37:18.550 12363 12363 V NearbyFragment: Started downloading 20200312_150844!003.mp4 from Endpoint{id=Hqzs, name=Galaxy S8 [2802]}
07-12 19:37:18.551 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:37:18.569 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:37:18.629 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@f34be88)
07-12 19:37:22.269 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:37:22.270 12363 12363 W NearbyFragment: Completed downloading 20200312_150844!002.mp4 from Endpoint{id=b1P0, name=Shark 1S [9c8f]} in 06.175s
07-12 19:37:22.274 12363 12363 V FileManager: External storage is readable
07-12 19:37:22.274 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment-sum/20200312_150844
07-12 19:37:23.455 12363 12363 V NearbyFragment: Received a segment of 20200312_150844
07-12 19:37:23.915 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:37:23.916 12363 12363 W NearbyFragment: Completed downloading 20200312_150844!003.mp4 from Endpoint{id=Hqzs, name=Galaxy S8 [2802]} in 05.364s
07-12 19:37:23.920 12363 12363 V FileManager: External storage is readable
07-12 19:37:23.920 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment-sum/20200312_150844
07-12 19:37:24.813 12363 12363 D NearbyFragment: Received all summarised video segments of 20200312_150844
07-12 19:37:24.818 12363 12363 V FileManager: External storage is readable
07-12 19:37:24.818 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment-sum/20200312_150844
07-12 19:37:24.819 12363 12363 D FfmpegTools: Merging /storage/emulated/0/Movies/summarised/20200312_150844.mp4
07-12 19:37:24.823 12363 12363 V FileManager: External storage is readable
07-12 19:37:24.823 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment/20200312_150844
07-12 19:37:24.827 12363 12363 I FfmpegTools: Running ffmpeg with:
07-12 19:37:24.827 12363 12363 I FfmpegTools:   -y -f concat -safe 0 -i /storage/emulated/0/Movies/segment/20200312_150844/paths.txt -c copy /storage/emulated/0/Movies/summarised/20200312_150844.mp4
07-12 19:37:24.874 12363 12708 I mobile-ffmpeg: [mov,mp4,m4a,3gp,3g2,mj2 @ 0x93f3da00] Auto-inserting h264_mp4toannexb bitstream filter
07-12 19:37:24.913 12363 12708 I mobile-ffmpeg: Input #0, concat, from '/storage/emulated/0/Movies/segment/20200312_150844/paths.txt':
07-12 19:37:24.926 12363 12708 I mobile-ffmpeg:   Duration: 
07-12 19:37:24.926 12363 12708 I mobile-ffmpeg: N/A
07-12 19:37:24.927 12363 12708 I mobile-ffmpeg: , start: 
07-12 19:37:24.927 12363 12708 I mobile-ffmpeg: 0.000000
07-12 19:37:24.928 12363 12708 I mobile-ffmpeg: , bitrate: 
07-12 19:37:24.928 12363 12708 I mobile-ffmpeg: 8413 kb/s
07-12 19:37:24.928 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.929 12363 12708 I mobile-ffmpeg:     Stream #0:0
07-12 19:37:24.929 12363 12708 I mobile-ffmpeg: (eng)
07-12 19:37:24.929 12363 12708 I mobile-ffmpeg: : Video: h264 (avc1 / 0x31637661), yuvj420p(pc, bt709), 1280x720, 8366 kb/s
07-12 19:37:24.929 12363 12708 I mobile-ffmpeg: , 
07-12 19:37:24.931 12363 12708 I mobile-ffmpeg: 29.97 fps, 
07-12 19:37:24.931 12363 12708 I mobile-ffmpeg: 29.97 tbr, 
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg: 16k tbn, 
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg: 32k tbc
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg: PittaSoft Video Media Handler
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg:     Stream #0:1
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg: (eng)
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg: : Audio: aac (mp4a / 0x6134706D), 16000 Hz, stereo, fltp, 47 kb/s
07-12 19:37:24.932 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.937 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:37:24.937 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg: PittaSoft Sound Media Handler
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg: Output #0, mp4, to '/storage/emulated/0/Movies/summarised/20200312_150844.mp4':
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg:   Metadata:
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg:     encoder         : 
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg: Lavf58.42.100
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg:     Stream #0:0
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg: (eng)
07-12 19:37:24.938 12363 12708 I mobile-ffmpeg: : Video: h264 (avc1 / 0x31637661), yuvj420p(pc, bt709), 1280x720, q=2-31, 8366 kb/s
07-12 19:37:24.939 12363 12708 I mobile-ffmpeg: , 
07-12 19:37:24.939 12363 12708 I mobile-ffmpeg: 29.97 fps, 
07-12 19:37:24.939 12363 12708 I mobile-ffmpeg: 29.97 tbr, 
07-12 19:37:24.939 12363 12708 I mobile-ffmpeg: 16k tbn, 
07-12 19:37:24.942 12363 12708 I mobile-ffmpeg: 16k tbc
07-12 19:37:24.942 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.943 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:37:24.943 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:37:24.943 12363 12708 I mobile-ffmpeg: PittaSoft Video Media Handler
07-12 19:37:24.944 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.944 12363 12708 I mobile-ffmpeg:     Stream #0:1
07-12 19:37:24.944 12363 12708 I mobile-ffmpeg: (eng)
07-12 19:37:24.944 12363 12708 I mobile-ffmpeg: : Audio: aac (mp4a / 0x6134706D), 16000 Hz, stereo, fltp, 47 kb/s
07-12 19:37:24.944 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg: PittaSoft Sound Media Handler
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg: Stream mapping:
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg:   Stream #0:0 -> #0:0
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg:  (copy)
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg:   Stream #0:1 -> #0:1
07-12 19:37:24.945 12363 12708 I mobile-ffmpeg:  (copy)
07-12 19:37:24.951 12363 12708 I mobile-ffmpeg: 
07-12 19:37:24.951 12363 12708 I mobile-ffmpeg: Press [q] to stop, [?] for help
07-12 19:37:24.951 12363 12708 I mobile-ffmpeg: frame=    1 fps=0.0 q=-1.0 size=       0kB time=00:00:00.00 bitrate=6095.2kbits/s speed=31.5x    
07-12 19:37:25.186 12363 12708 I mobile-ffmpeg: [mov,mp4,m4a,3gp,3g2,mj2 @ 0x93f3da00] Auto-inserting h264_mp4toannexb bitstream filter
07-12 19:37:25.486 12363 12708 I mobile-ffmpeg: frame=  953 fps=0.0 q=-1.0 size=   32768kB time=00:00:31.81 bitrate=8438.7kbits/s speed=57.5x    
07-12 19:37:25.551 12363 12708 I mobile-ffmpeg: [mov,mp4,m4a,3gp,3g2,mj2 @ 0x93f3da00] Auto-inserting h264_mp4toannexb bitstream filter
07-12 19:37:25.750 12363 12708 I mobile-ffmpeg: [mov,mp4,m4a,3gp,3g2,mj2 @ 0x93f3da00] Auto-inserting h264_mp4toannexb bitstream filter
07-12 19:37:25.889 12363 12708 I mobile-ffmpeg: frame= 1800 fps=0.0 q=-1.0 Lsize=   61804kB time=00:01:00.06 bitrate=8428.8kbits/s speed=62.5x    
07-12 19:37:25.890 12363 12708 I mobile-ffmpeg: video:61425kB audio:345kB subtitle:0kB other streams:0kB global headers:0kB muxing overhead: 
07-12 19:37:25.891 12363 12708 I mobile-ffmpeg: 0.053992%
07-12 19:37:25.891 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.893 12363 12363 V FfmpegTools: Retrieving duration of /storage/emulated/0/Movies/summarised/20200312_150844.mp4
07-12 19:37:25.946 12363 12708 I mobile-ffmpeg: Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/storage/emulated/0/Movies/summarised/20200312_150844.mp4':
07-12 19:37:25.949 12363 12708 I mobile-ffmpeg:   Metadata:
07-12 19:37:25.949 12363 12708 I mobile-ffmpeg:     major_brand     : 
07-12 19:37:25.949 12363 12708 I mobile-ffmpeg: isom
07-12 19:37:25.950 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.951 12363 12708 I mobile-ffmpeg:     minor_version   : 
07-12 19:37:25.952 12363 12708 I mobile-ffmpeg: 512
07-12 19:37:25.952 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.953 12363 12708 I mobile-ffmpeg:     compatible_brands: 
07-12 19:37:25.953 12363 12708 I mobile-ffmpeg: isomiso2avc1mp41
07-12 19:37:25.953 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.953 12363 12708 I mobile-ffmpeg:     encoder         : 
07-12 19:37:25.954 12363 12708 I mobile-ffmpeg: Lavf58.42.100
07-12 19:37:25.954 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.954 12363 12708 I mobile-ffmpeg:   Duration: 
07-12 19:37:25.954 12363 12708 I mobile-ffmpeg: 00:01:00.08
07-12 19:37:25.954 12363 12708 I mobile-ffmpeg: , start: 
07-12 19:37:25.954 12363 12708 I mobile-ffmpeg: 0.000000
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: , bitrate: 
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: 8427 kb/s
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg:     Stream #0:0
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: (eng)
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: : Video: h264 (avc1 / 0x31637661), yuvj420p(pc, bt709), 1280x720, 8377 kb/s
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: , 
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: 29.97 fps, 
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: 29.97 tbr, 
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: 16k tbn, 
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: 32k tbc
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg:  (default)
07-12 19:37:25.955 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg: PittaSoft Video Media Handler
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg:     Stream #0:1
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg: (eng)
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg: : Audio: aac (mp4a / 0x6134706D), 16000 Hz, stereo, fltp, 47 kb/s
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg:  (default)
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:37:25.956 12363 12708 I mobile-ffmpeg: PittaSoft Sound Media Handler
07-12 19:37:25.957 12363 12708 I mobile-ffmpeg: 
07-12 19:37:25.965 12363 12363 W FfmpegTools: Merged duration of 20200312_150844: 60.08
07-12 19:37:26.617 12363 12363 V VideoManager: Retrieving video from /storage/emulated/0/Movies/summarised/20200312_150844.mp4
07-12 19:37:26.622 12363 12363 V VideoManager: videoFromCursor
07-12 19:37:26.623 12363 12363 V SummarisedVideosEventHandler: onAdd
07-12 19:37:26.624 12363 12363 V RawFootageEventHandler: removeByName
07-12 19:37:26.624 12363 12363 V ProcessingVideosEventHandler: removeByName
07-12 19:37:26.625 12363 12363 V NearbyFragment: Removing video segment map for 20200312_150844
07-12 19:37:37.352 12363 12654 V VideoManager: Retrieving video from /storage/emulated/0/Movies/raw/20200312_150944.mp4
07-12 19:37:37.358 12363 12654 D VideoManager: videoCursor is null
07-12 19:37:37.397 12363 12654 V VideoManager: videoFromCursor
07-12 19:37:37.400 12363 12654 W DashDownloadManager: Successfully downloaded 20200312_150944.mp4 in 43.707s
07-12 19:37:37.400 12363 12654 V DownloadTestVideosTask: Entering callback for download completion of 20200312_150944.mp4
07-12 19:37:37.401 12363 12654 V RawFootageEventHandler: onAdd
07-12 19:37:37.406 12363 12654 V FfmpegTools: Retrieving duration of /storage/emulated/0/Movies/raw/20200312_150944.mp4
07-12 19:37:37.425 12363 12708 W mobile-ffmpeg: [mov,mp4,m4a,3gp,3g2,mj2 @ 0x93f3c800] Found duplicated MOOV Atom. Skipped it
07-12 19:37:37.513 12363 12708 I mobile-ffmpeg: Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/storage/emulated/0/Movies/raw/20200312_150944.mp4':
07-12 19:37:37.514 12363 12708 I mobile-ffmpeg:   Metadata:
07-12 19:37:37.514 12363 12708 I mobile-ffmpeg:     creation_time   : 
07-12 19:37:37.514 12363 12708 I mobile-ffmpeg: 2020-03-12T04:10:43.000000Z
07-12 19:37:37.514 12363 12708 I mobile-ffmpeg: 
07-12 19:37:37.514 12363 12708 I mobile-ffmpeg:     major_brand     : 
07-12 19:37:37.514 12363 12708 I mobile-ffmpeg: mp42
07-12 19:37:37.514 12363 12708 I mobile-ffmpeg: 
07-12 19:37:37.515 12363 12708 I mobile-ffmpeg:     minor_version   : 
07-12 19:37:37.515 12363 12708 I mobile-ffmpeg: 1
07-12 19:37:37.515 12363 12708 I mobile-ffmpeg: 
07-12 19:37:37.515 12363 12708 I mobile-ffmpeg:     compatible_brands: 
07-12 19:37:37.515 12363 12708 I mobile-ffmpeg: mp42mp42
07-12 19:37:37.515 12363 12708 I mobile-ffmpeg: 
07-12 19:37:37.515 12363 12708 I mobile-ffmpeg:   Duration: 
07-12 19:37:37.516 12363 12708 I mobile-ffmpeg: 00:01:00.02
07-12 19:37:37.516 12363 12708 I mobile-ffmpeg: , start: 
07-12 19:37:37.516 12363 12708 I mobile-ffmpeg: 0.000000
07-12 19:37:37.516 12363 12708 I mobile-ffmpeg: , bitrate: 
07-12 19:37:37.517 12363 12708 I mobile-ffmpeg: 9328 kb/s
07-12 19:37:37.517 12363 12708 I mobile-ffmpeg: 
07-12 19:37:37.517 12363 12708 I mobile-ffmpeg:     Stream #0:0
